1;7even Nebula;;;EU;Advanced;1
2;Aggression;;;EU;Advanced;1
;AlmostPlat;;;EU;Advanced;1
;BenchWarmers Deluxe;;;EU;Advanced;1
;EclYpse Esports Quasar;;;EU;Advanced;1
;Epoch Alpha;;;EU;Advanced;1
;Epoch Amethyst;;;EU;Advanced;1
;Epoch Ruby;;;EU;Advanced;1
;Essence;;;EU;Advanced;1
;Ethereal;;;EU;Advanced;1
;EXALT;;;EU;Advanced;1
;Fire of mercy;;;EU;Advanced;1
;Frederikssund Frosties;;;EU;Advanced;1
;GermanChicks;;;EU;Advanced;1
;Guinea Pink;;;EU;Advanced;1
;High Coast Esports;;;EU;Advanced;1
;Hurricane Tortilla;;;EU;Advanced;1
;Jamyoole esports;;;EU;Advanced;1
;Lootbox;;;EU;Advanced;1
;Nike Exiles;;;EU;Advanced;1
;OG Kintsugi;;;EU;Advanced;1
;Power Pandas;;;EU;Advanced;1
;SIR yes SIR;;;EU;Advanced;1
;Solar Dragons;;;EU;Advanced;1
;Solar Guardians;;;EU;Advanced;1
;The Sneaky Imps;;;EU;Advanced;1
;Umbra Force;;;EU;Advanced;1
;Violet;;;EU;Advanced;1
;Atgeirar;;;EU;Expert;1
;BEESWARM;;;EU;Expert;1
;Benchwarmers Academy;;;EU;Expert;1
;Blue Lagoon;;;EU;Expert;1
;EchoZ Jesters;;;EU;Expert;1
;Hannover Capras;;;EU;Expert;1
;Invective;;;EU;Expert;1
;Marmalade Skies;;;EU;Expert;1
;Nihil Dragons;;;EU;Expert;1
;Power Nappers;;;EU;Expert;1
;Project Eden Team Nightshade;;;EU;Expert;1
;Romano Esports;;;EU;Expert;1
;Spaghettification;;;EU;Expert;1
;Stardust;;;EU;Expert;1
;Team Dominance (M);;;EU;Expert;1
;Vulpine Dynamos;;;EU;Expert;1
;Washed Machines;;;EU;Expert;1
;x6tence;;;EU;Expert;1
;8-Bit;;;EU;Intermediate;1
;Ac!d Trip;;;EU;Intermediate;1
;AntiShock;;;EU;Intermediate;1
;Ares;;;EU;Intermediate;1
;Asgard Ymir;;;EU;Intermediate;1
;Aztec E-Sports;;;EU;Intermediate;1
;Bad Englich;;;EU;Intermediate;1
;Beaver Uni;;;EU;Intermediate;1
