Astrum Vega;EU;Advanced;0
2ez Cosmos;EU;Advanced;1
Alpha Centauri;EU;Advanced;1
Beaver Esports;EU;Advanced;1
ChaosCoordinated;EU;Advanced;1
Dead Pixel;EU;Advanced;1
EmptyBox;EU;Advanced;1
Green Infinity;EU;Advanced;1
Houston Healslugs;EU;Advanced;1
LavaLillies;EU;Advanced;1
Mystery Heroes;EU;Advanced;1
Renai Crew;EU;Advanced;0
Sallad Leuf;EU;Advanced;1
Siberia;EU;Advanced;1
Yoinkers;EU;Advanced;1
Luminescent;EU;Expert;0
2ez Ethereal;EU;Expert;1
Altera Horizon;EU;Expert;1
Altera Igni;EU;Expert;1
Altera Orion;EU;Expert;1
Altiora Eminence;EU;Expert;1
Altiora Snowdon;EU;Expert;1
CE Nebula;EU;Expert;1
Crimson Ruby;EU;Expert;1
deinial Esports;EU;Expert;1
Lootbox;EU;Expert;1
Lotus Academy;EU;Expert;1
Munich eSports Nemesis;EU;Expert;1
Not Gonna Switch;EU;Expert;1
PE Nightshade;EU;Expert;1
Pixel Purrfect;EU;Expert;1
Power Nappers;EU;Expert;1
R.I.S.;EU;Expert;1
Revolution;EU;Expert;1
Romano esports;EU;Expert;1
Team Doublecross;EU;Expert;1
Tenerife Sur Classics;EU;Expert;1
Altera NightOwls;EU;Intermediate;0
Altiora Everest;EU;Intermediate;0
CE Bastet;EU;Intermediate;0
Atria;EU;Intermediate;1
CE Void;EU;Intermediate;1
Couch Potatoes;EU;Intermediate;1
Court of Earth;EU;Intermediate;1
Court of Water;EU;Intermediate;1
Curious Cats;EU;Intermediate;1
DiamondPack;EU;Intermediate;1
DootStone;EU;Intermediate;1
Milk Men;EU;Intermediate;1
New Wave LSD;EU;Intermediate;1
Panthera Iunctura;EU;Intermediate;1
Pixelfehler;EU;Intermediate;1
Pixie;EU;Intermediate;1
Squad Zero;EU;Intermediate;1
Submissive and Winnable;EU;Intermediate;1
TC Red Sky;EU;Intermediate;1
Altiora Astronomer;EU;Rookie;1
Altiora Horizon;EU;Rookie;1
CE Chronos Rewind;EU;Rookie;1
E.K ACADEMY;EU;Rookie;1
Luma;EU;Rookie;1
LUSTRUM;EU;Rookie;1
Pretty Savage;EU;Rookie;1
Team Haven;EU;Rookie;1
Team Team 5Head;EU;Rookie;1
Venice Vipers;EU;Rookie;1
Kulture;NA;Advanced;0
Tidal Typhoon;NA;Advanced;0
9Lives;NA;Advanced;1
Aquatik Orca;NA;Advanced;1
Crab Mafia;NA;Advanced;1
o7 Xenon;NA;Advanced;1
Royal Mooncakes;NA;Advanced;1
S.S. Nautilus;NA;Advanced;1
Space Diamonds;NA;Advanced;1
Uzumaki;NA;Advanced;1
Vanguard Dragons;NA;Advanced;1
0N | Icarus;NA;Expert;1
CC Vortex;NA;Expert;1
Charybdis;NA;Expert;1
fartfarm;NA;Expert;1
Paul Allen's Card;NA;Expert;1
Phoenix Rebirth;NA;Expert;1
Plant Gang;NA;Expert;1
PR Celestial;NA;Expert;1
Spin2Win;NA;Expert;1
The Chimp Club;NA;Expert;1
Twilight Foxes;NA;Expert;1
UTRGV Ocelots;NA;Expert;1
Aquatic Maneaters;NA;Intermediate;0
o7 Cobalt;NA;Intermediate;0
?RIPTIDE?;NA;Intermediate;1
AE MidKnights;NA;Intermediate;1
Arcana Judgement;NA;Intermediate;1
Deja Vu;NA;Intermediate;1
Fire Ferrets 2;NA;Intermediate;1
Fireteam Cobalt;NA;Intermediate;1
Forefront Esports;NA;Intermediate;1
Gold Monarchs;NA;Intermediate;1
Guardians Grace;NA;Intermediate;1
Ignited Embers;NA;Intermediate;1
LSFC;NA;Intermediate;1
OATH Esports;NA;Intermediate;1
Pride Pretzels;NA;Intermediate;1
St. Mary's Privateer;NA;Intermediate;1
The Plat Agenda;NA;Intermediate;1
UCGC B;NA;Intermediate;1
USU Team 3 and A Half;NA;Intermediate;1
AYO THE PIZZA HERE;NA;Rookie;0
o7 Titanium;NA;Rookie;0
Team Ares;NA;Rookie;0
UNH Wildfire;NA;Rookie;0
5 Man Rez;NA;Rookie;1
Borderline Bronze;NA;Rookie;1
Rated;NA;Rookie;1
Emerald Knights;NA;Rookie;1
Excalibur Knights Academy NA;NA;Rookie;1
Grav-9;NA;Rookie;1
Heavensward;NA;Rookie;1
Heroes of Hyrule;NA;Rookie;1
Hyperion;NA;Rookie;1
Luigiana Purchase;NA;Rookie;1
Maua Esports;NA;Rookie;1
No Peel Gaming;NA;Rookie;1
Obsidian Shrikes;NA;Rookie;1
Vanguard Hippos;NA;Rookie;1
Washed Gamers;NA;Rookie;1
XPL Shogun;NA;Rookie;1
